"id"	"type"	"review"
1	"Pro"	"Easy to use, economical!"
2	"Pro"	"Digital is where it's at...down with developing film!"
3	"Pro"	"Good image quality, 3x optical zoom, macro mode, inexpensive"
4	"Pro"	"Awesome features/easy to use/fun/versatile/low price/Cust SVS 2nd 2 none!"
5	"Pro"	"intuitive, user friendly"
6	"Pro"	"Simple, Flexable, Reliable"
7	"Pro"	"battery life, download speed"
8	"Pro"	"Agfa quality in a small box, great for table top and tests"
9	"Pro"	"Image quality, price, video link"
10	"Pro"	"No Extras to Buy, Very Flexible, High Quality Images, Good Software"
11	"Pro"	"simplicity"
12	"Pro"	"Comes with software, good price, excellent pictures."
13	"Pro"	"Clear pics"
14	"Pro"	"Price, Over all Performance, Zoom Feature"
15	"Pro"	"clear, srisp picture, durable camera, good desing, nice features"
16	"Pro"	"Inexpensive compared to some"
17	"Pro"	"Great picture quality, swivel lens, many options"
18	"Pro"	"Very simple controls and a wide range of features"
19	"Pro"	"Great camera, easy to use, good looking, high quality images."
20	"Pro"	"Megapixel quality, easy to use"
21	"Pro"	"durable, easy to use"
22	"Pro"	"Sharp, crisp, pictures."
23	"Pro"	"Ease of use, quality pictures."
24	"Pro"	"pic quality, smart media,price"
25	"Pro"	"megapixel quality, easy to use"
26	"Pro"	"Easy to use, takes GREAT pictures, full of features."
27	"Pro"	"Saturated, sharp images at all resolutions, twist-style body"
28	"Pro"	"very clear photos"
29	"Pro"	"Nickle Hydride batteries,  ease of use, excellent color rendition"
30	"Pro"	"Picture quality, Twist body"
31	"Pro"	"perfect shots, long-focus, easy to use, a lot of features, good software"
32	"Pro"	"Easy to use, stylish, good picture quality, good price, good company."
33	"Pro"	"Good quality pictures for a low price, great first camera"
34	"Pro"	"This camera is a nice easy to use camera."
35	"Pro"	"Takes great pictures"
36	"Pro"	"Inexpensive and clear pictures"
37	"Pro"	"Camera is very easy to learn and use."
38	"Pro"	"extra film, led for image viewing, software is easy to use, sleek design"
39	"Pro"	"Easy to use, great pictures"
40	"Pro"	"Ease of use; instant review; inexpensive"
41	"Pro"	"cheap"
42	"Pro"	"Inexpensive, good quality, easy to use"
43	"Pro"	"Acceptable Quality Pictures. Decent amount of options."
44	"Pro"	"Low price, easy to use. Quality pictures."
45	"Pro"	"Low price, 4 levels of resolution, EZ to use"
46	"Pro"	"None"
47	"Pro"	"Easy to use, fabulous picture quality, lots of features"
48	"Pro"	"sturdy, easy to use,"
49	"Pro"	"Strong, Well Built body"
50	"Pro"	"Attractive, easy to use, great value"
51	"Pro"	"No internal memory (uses cards), lightweight, compact, easy to use"
52	"Pro"	"Swell buy for the price,"
53	"Pro"	"Inexpensive, versatile, fun, sturdy, and cool."
54	"Pro"	"Ease of use, TV connection cable, Decent software, interchangeable compact flash cards in many sizes"
55	"Pro"	"Price, Quality, Storage capacity"
56	"Pro"	"Price, Ease of Use, Great Software package, factory support"
57	"Pro"	"Great Pictures for the Cost."
58	"Pro"	"Easy to use - fun at first"
59	"Pro"	"inexpensive,easy to use"
60	"Pro"	"cheaper than buying film"
61	"Pro"	"Easy to use"
62	"Pro"	"Good value for the money, Simple to learn/use"
63	"Pro"	"Quick and easy to use."
64	"Pro"	"Takes great pictures in four resolutions"
65	"Pro"	"Decent resolution"
66	"Pro"	"Fantastic value, great images, solid camera, GREAT company, EXCELLENT customer service (read my 5/20/2000 update)"
67	"Pro"	"sturdy, great price, easy to use"
68	"Pro"	"Good quality inexpensive initially"
69	"Pro"	"cost"
70	"Pro"	"Easy to use, good quality, great price"
71	"Pro"	"Easy, fast image transfer to PC or printer"
72	"Pro"	"Changing resolution"
73	"Pro"	"reasonable price This features you would expect from a very expensive camera"
74	"Pro"	"Easy to use, great outdoor pics."
75	"Pro"	"simple to use"
76	"Pro"	"Good price"
77	"Pro"	"handy, high quality pictures"
78	"Pro"	"Best camera we  have had"
79	"Pro"	"Great software, easy to use camera"
80	"Pro"	"User friendly, priced right"
81	"Pro"	"Easy to use, compact"
82	"Pro"	"Easy to use, picture galleries, self-adjusting flash"
83	"Pro"	"Cute, cheap, anybody could use it"
84	"Pro"	"Cheap, cute, sturdy, reliable"
85	"Pro"	"good for beginners, funky blue design, cheap"
86	"Pro"	"Good price for resolution and ease of use"
87	"Pro"	"Low cost, easy to use, pretty good pictures, fine for ebay"
88	"Pro"	"inexpensive"
89	"Pro"	"Price"
90	"Pro"	"Price, Style--it's Blue :)"
91	"Pro"	"Blue design FUN! Takes good pictures for me, LCD and Optical view finder, easy to use"
92	"Pro"	"Very easy camera to use"
93	"Pro"	"Easy to use. Great range of settings for the flash, the resolution and the focal length. The camera itself looks pretty darn cool too."
94	"Pro"	"Customer support, value for dollar"
95	"Pro"	"Price"
96	"Pro"	"Price, Ease of Use, LCD Monitor"
97	"Pro"	"High Quality Photos, Dependable, Easy to Use"
98	"Pro"	"friendly"
99	"Pro"	"cheap, easy to use"
100	"Pro"	"Price, Great pictures, Smart Media slot"
101	"Pro"	"cost, easy to use"
102	"Pro"	"compact, stylish, good quality pictures"
103	"Pro"	"Ease of use, clear &amp;amp; crisp pictures, LCD"
104	"Pro"	"You get so much for what you pay"
105	"Pro"	"Great camera, great price!"
106	"Pro"	"Good images, uploadable, easy to use, LCD, everything"
107	"Pro"	"easy to use, affordable, several nice features"
108	"Pro"	"Wonderful Software Included; Easy-to-Use; Great Picture Quality; Lots of Features; Low Cost"
109	"Pro"	"Gallery, Viewing Lense, High Capacity for storing pictures, Nice Design, High Resolution/Good Quality photos."
110	"Pro"	"Relatively low-cost, decent picture quality and simple to use"
111	"Pro"	"cool looking. decent pics. like the flash and size options."
112	"Pro"	"Easy to use; relatively inexpensive; quality pretty good; wonderful customer service"
113	"Pro"	"very inexpensive,  good quality pictures"
114	"Pro"	"GREAT DIGITAL 1ST CAMERA"
115	"Pro"	"Very simple to use, software is pretty self explanatory."
116	"Pro"	"compact and reasonable pictures"
117	"Pro"	"zero"
118	"Pro"	"It's light and low tech."
119	"Pro"	"The company honored my warranty."
120	"Pro"	"Inexpensive, Easy to operate"
121	"Pro"	"NOT ONE"
122	"Pro"	"cost"
123	"Pro"	"inexpensive, webcam conversion included, easy to use"
124	"Pro"	"Photos look good on TV"
125	"Pro"	"Price. EVERYTHING is included."
126	"Pro"	"A camera to carry with you at all times."
127	"Pro"	"Good for inexpensive snapshots"
128	"Pro"	"- small, low power consumption, decent outdoor pictures, fast USB connection"
129	"Pro"	"Small, light, simple, pockatable"
130	"Pro"	"Cheap.  Complete.  USB interface."
131	"Pro"	"quality good for price"
132	"Pro"	"Tiny camera with lots of big features."
133	"Pro"	"It is made for video conferencing and still photography with quality  pictures."
134	"Pro"	"Great inexpensive digital camera"
135	"Pro"	"Inexpensive, Supposed ""Dual"" capabilities, ability to display pics on TV with included cable, extras included."
136	"Pro"	"Good value, good photos, simple to use"
137	"Pro"	"Nice picture as a web camera when the lighting is good."
138	"Pro"	"affordable, high quality pictures, holds a lot of pictures, USB port, pocket-sized, so it's easy to carry around."
139	"Pro"	"Pricing, Image Quality, Dimensions, USB-port, CF-slot, Flash, WebCam"
140	"Pro"	"Small, inexpensive, easy"
141	"Pro"	"Easy to handle, good quality with enough light, webcam too."
142	"Pro"	"Good pics,price and easy to use."
143	"Pro"	"Lightweight, small, great webcam"
144	"Pro"	"Image Quality, CF Card Slot, Flash, USB"
145	"Pro"	"Can you find anything better for this price?"
146	"Pro"	"Price, ease of use, size."
147	"Pro"	"CompactFlash, USB, has flash, great outdoor image quality, good for web or beginner"
148	"Pro"	"Flash, Digital, USB, high or low quality, WEB CAM,"
149	"Pro"	"Price/Quality, agfanet prints, size, software bundle, versatility"
150	"Pro"	"Inexpensive, good pictures in good lighting conditions"
151	"Pro"	"LCD screen, Clik! drive, navigation nob, easy software"
152	"Pro"	"Easy to use, 1 Megapixel"
153	"Pro"	"good pic quality &amp;amp; price"
154	"Pro"	"lightweight, easy to use"
155	"Pro"	"Simplicity, cord bundle, Photo Quality"
156	"Pro"	"Easy to use, great picture quality"
157	"Pro"	"inexpensive Clik! media, 1.5 MP resolution, 2x digital zoom"
158	"Pro"	"good image quality, affordable"
159	"Pro"	"Not many."
160	"Pro"	"Good $"
161	"Pro"	"ease of use, compact size"
162	"Pro"	"Pretty, lightweight, cheap"
163	"Pro"	"takes good images"
164	"Pro"	"Value"
165	"Pro"	"photos transfer from camera to software quickly, easy to get started with"
166	"Pro"	"Good price, good quality photos."
167	"Pro"	"Cheap, easy, good for the amateur photographer"
168	"Pro"	"Ease of use, great quality pictures, cost"
169	"Pro"	"can be used as a drive, USB compatible, great picture quality, cheaper media."
170	"Pro"	"quality"
171	"Pro"	"Excellent Quality, Cheap, easy to use"
172	"Pro"	"Connectivity options: PCMIA,USB,serial"
173	"Pro"	"Good feature control, nice macro feature, good image quality"
174	"Pro"	"USB, megapixel, mass storage, LCD preview"
175	"Pro"	"Inexpensive Media, Optical View Finder, Switchable LCD, LCD Cover"
176	"Pro"	"Price, Photo quality, weight"
177	"Pro"	"Photowise 1.7; Switchable LCD; LCD cover; optical viewfinder"
178	"Pro"	"Easy to use software and camera, came with everything needed to get started right away."
179	"Pro"	"Easy to use, cheap"
180	"Pro"	"Excellent image quality and expanded storage space"
181	"Pro"	"nice pictures"
182	"Pro"	"accessories"
183	"Pro"	"none"
184	"Pro"	"You can take ALL high-resolution pictures without worrying about space!"
185	"Pro"	"clear pictures, lots of memory space (40MB each clik! disk)"
186	"Pro"	"Cute little blue camera"
187	"Pro"	"pretty packaging"
188	"Pro"	"It was free!"
189	"Pro"	"Ease of use, price"
190	"Pro"	"small, cheap, built in flash"
191	"Pro"	"Cheap, functional"
192	"Pro"	"small, lightweight, can preview images on television"
193	"Pro"	"cheap, cute, easy to use"
194	"Pro"	"price, flash, easy to use"
195	"Pro"	"cheap, E-Z to use"
196	"Pro"	"I sold it again on Ebay."
197	"Pro"	"none"
198	"Pro"	"Priced right for a beginner."
199	"Pro"	"tv-out, webcam capable"
200	"Pro"	"Inexpensive, Smaller-Than-Pocket-Size"
201	"Pro"	"Cheap, tiny."
202	"Pro"	"user-friendly"
203	"Pro"	"resolution and price"
204	"Pro"	"small size"
205	"Pro"	"it has a flash"
206	"Pro"	"Inexpensive, sleek looking"
207	"Pro"	"dont like it"
208	"Pro"	"none"
209	"Pro"	"light weight; has functions; takes pictures"
210	"Pro"	"Price"
211	"Pro"	"Great price"
212	"Pro"	"It is a pretty color and it is very compact"
213	"Pro"	"takes pics"
214	"Pro"	"Its cheap"
215	"Pro"	"easy, compact, self timer"
216	"Pro"	"NON"
217	"Pro"	"small, light, shiny, blue, cheap"
218	"Pro"	"Looks pretty, has extra functions"
219	"Pro"	"at least it wasn't take expensive"
220	"Pro"	"Cheap, easy to use. Good for web pictures."
221	"Pro"	"It was free"
222	"Pro"	"Cheap, small."
223	"Pro"	"Low cost, light weight, functional"
224	"Pro"	"cheap, light, small"
225	"Pro"	"size, ease of use"
