"Facility.Permit","Establishment.Name","Facility.Name","Facility.Unit.No","Facility.City","Facility.State","Facility.Zip","Business.Status","Facility.Type","Permit.Type","Web.Site","Operational.Status","Location","Latitude","Longitude"
102036,"CVS/ Pharmacy #8592","CVS/ Pharmacy #8592","","Kansas City","MISSOURI",64105,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","921 Main St
Kansas City, MISSOURI 64105
(39.102614, -94.583052)",39.102614,-94.583052
4708,"MARSH'S SUNFRESH (Store)","MARSH'S SUNFRESH (Store)","","KANSAS CITY","MISSOURI",64111,"Open","Retail Grocery/Market 40001-60000 sq. ft.","Retail Grocery/Market","","Operational","4001 MILL ST.
KANSAS CITY, MISSOURI 64111
(39.053557, -94.594557)",39.053557,-94.594557
101321,"Abarrotes Durango (market)","Abarrotes Durango (market)","","Kansas City","MISSOURI",64126,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","6200 E Truman
Kansas City, MISSOURI 64126
(39.093881, -94.509931)",39.093881,-94.509931
12221,"Price Chopper # 17 Market","Price Chopper # 17 Market","","Kansas City","MISSOURI",64134,"Open","Retail Grocery/Market 40001-60000 sq. ft.","Retail Grocery/Market","","Operational","9550 Blue Ridge Blvd
Kansas City, MISSOURI 64134
(38.951065, -94.508019)",38.951065,-94.508019
25093,"Westport Plaza BP","Westport Plaza BP","","KANSAS CITY","MISSOURI",64111,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","1015 WEST 43RD ST
KANSAS CITY, MISSOURI 64111
(39.049844, -94.599028)",39.049844,-94.599028
101561,"Family Dollar Store","Family Dollar Store","","Kansas City","MISSOURI",64127,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","4601 E Truman Rd
Kansas City, MISSOURI 64127
(39.094281, -94.528264)",39.094281,-94.528264
101755,"Family Dollar Stores, Inc","Family Dollar Stores, Inc","","Kansas City","MISSOURI",64128,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","3017 Prospect Ave.
Kansas City, MISSOURI 64128
(39.070904, -94.552789)",39.070904,-94.552789
2384,"Van Brunt Market (retail)","Van Brunt Market (retail)","","Kansas City","MISSOURI",64128,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","2701 Van Brunt
Kansas City, MISSOURI 64128
(39.075928, -94.520283)",39.075928,-94.520283
100613,"US Fuels LLC","US Fuels LLC","","KANSAS CITY","MISSOURI",64109,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","3438 Troost
KANSAS CITY, MISSOURI 64109
(39.063721, -94.571688)",39.063721,-94.571688
2998,"Plaza Apple Market","Plaza Apple Market","","Kansas City","MISSOURI",64110,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","1215 E 47th St.
Kansas City, MISSOURI 64110
(39.041632, -94.571589)",39.041632,-94.571589
101638,"Quik Trip #225 (Market)","Quik Trip #225 (Market)","","Kansas City","MISSOURI",64155,"Open","Retail Grocery/Market 40001-60000 sq. ft.","Retail Grocery/Market","","Operational","1251 NW Barry RD
Kansas City, MISSOURI 64155
(39.246319, -94.597391)",39.246319,-94.597391
100463,"Hampton Inn & Suites, Country Club Plaza","Hampton Inn & Suites, Country Club Plaza","","Kansas City","MISSOURI",64112,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","4600 Summit
Kansas City, MISSOURI 64112
(39.043978, -94.596138)",39.043978,-94.596138
101300,"Break Time","Break Time","","Kansas City","MISSOURI",64108,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","2555 Grand Blvd
Kansas City, MISSOURI 64108
(39.080286, -94.58304)",39.080286,-94.58304
