"School","Pub.Priv","Year","Ave.Act","Range","Num","Pct"
"Harris-Stowe","Public",2006,16.3,"33.36",0,0
"Harris-Stowe","Public",2006,16.3,"28.32",1,0.002421307506053
"Harris-Stowe","Public",2006,16.3,"24.27",4,0.009685230024213
"Harris-Stowe","Public",2006,16.3,"19.23",42,0.101694915254237
"Harris-Stowe","Public",2006,16.3,"17.18",68,0.164648910411622
"Harris-Stowe","Public",2006,16.3,"01.16",144,0.348668280871671
"Harris-Stowe","Public",2006,16.3,"NA",154,0.372881355932203
"Harris-Stowe","Public",2006,16.3,"Tot",413,1
"Lincoln","Public",2006,17.7,"33.36",0,0
"Lincoln","Public",2006,17.7,"28.32",2,0.003533568904594
"Lincoln","Public",2006,17.7,"24.27",37,0.065371024734982
"Lincoln","Public",2006,17.7,"19.23",153,0.270318021201413
"Lincoln","Public",2006,17.7,"17.18",127,0.224381625441696
"Lincoln","Public",2006,17.7,"01.16",213,0.376325088339223
"Lincoln","Public",2006,17.7,"NA",34,0.060070671378092
"Lincoln","Public",2006,17.7,"Tot",566,1
"Missouri Southern","Public",2006,21.6,"33.36",2,0.002116402116402
"Missouri Southern","Public",2006,21.6,"28.32",67,0.070899470899471
"Missouri Southern","Public",2006,21.6,"24.27",187,0.197883597883598
"Missouri Southern","Public",2006,21.6,"19.23",381,0.403174603174603
"Missouri Southern","Public",2006,21.6,"17.18",111,0.117460317460317
"Missouri Southern","Public",2006,21.6,"01.16",74,0.078306878306878
"Missouri Southern","Public",2006,21.6,"NA",123,0.13015873015873
"Missouri Southern","Public",2006,21.6,"Tot",945,1
"Missouri State","Public",2006,23.8,"33.36",24,0.008441786844882
"Missouri State","Public",2006,23.8,"28.32",486,0.170946183608864
"Missouri State","Public",2006,23.8,"24.27",821,0.288779458318677
"Missouri State","Public",2006,23.8,"19.23",1278,0.449525149489975
"Missouri State","Public",2006,23.8,"17.18",117,0.041153710868801
"Missouri State","Public",2006,23.8,"01.16",14,0.004924375659515
"Missouri State","Public",2006,23.8,"NA",103,0.036229335209286
"Missouri State","Public",2006,23.8,"Tot",2843,1
"Missouri Western","Public",2006,19.5,"33.36",2,0.00188679245283
"Missouri Western","Public",2006,19.5,"28.32",37,0.034905660377359
"Missouri Western","Public",2006,19.5,"24.27",125,0.117924528301887
"Missouri Western","Public",2006,19.5,"19.23",406,0.383018867924528
"Missouri Western","Public",2006,19.5,"17.18",184,0.173584905660377
"Missouri Western","Public",2006,19.5,"01.16",235,0.221698113207547
"Missouri Western","Public",2006,19.5,"NA",71,0.066981132075472
"Missouri Western","Public",2006,19.5,"Tot",1060,1
"Northwest","Public",2006,21.9,"33.36",5,0.003918495297806
"Northwest","Public",2006,21.9,"28.32",83,0.065047021943574
"Northwest","Public",2006,21.9,"24.27",281,0.220219435736677
"Northwest","Public",2006,21.9,"19.23",659,0.516457680250784
"Northwest","Public",2006,21.9,"17.18",169,0.132445141065831
"Northwest","Public",2006,21.9,"01.16",45,0.035266457680251
"Northwest","Public",2006,21.9,"NA",34,0.026645768025078
"Northwest","Public",2006,21.9,"Tot",1276,1
"Southeast","Public",2006,22.2,"33.36",4,0.002635046113307
"Southeast","Public",2006,22.2,"28.32",157,0.103425559947299
"Southeast","Public",2006,22.2,"24.27",334,0.220026350461133
"Southeast","Public",2006,22.2,"19.23",669,0.440711462450593
"Southeast","Public",2006,22.2,"17.18",200,0.131752305665349
"Southeast","Public",2006,22.2,"01.16",37,0.02437417654809
"Southeast","Public",2006,22.2,"NA",117,0.077075098814229
"Southeast","Public",2006,22.2,"Tot",1518,1
"Truman","Public",2006,27.3,"33.36",85,0.062179956108266
"Truman","Public",2006,27.3,"28.32",552,0.403803950256035
"Truman","Public",2006,27.3,"24.27",480,0.351133869787857
"Truman","Public",2006,27.3,"19.23",179,0.130943672275055
"Truman","Public",2006,27.3,"17.18",7,0.00512070226774
"Truman","Public",2006,27.3,"01.16",0,0
"Truman","Public",2006,27.3,"NA",64,0.046817849305048
"Truman","Public",2006,27.3,"Tot",1367,1
"Ucm","Public",2006,22.1,"33.36",2,0.001221747098351
"Ucm","Public",2006,22.1,"28.32",101,0.061698228466707
"Ucm","Public",2006,22.1,"24.27",376,0.229688454489921
"Ucm","Public",2006,22.1,"19.23",800,0.488698839340257
"Ucm","Public",2006,22.1,"17.18",184,0.112400733048259
"Ucm","Public",2006,22.1,"01.16",29,0.017715332926084
"Ucm","Public",2006,22.1,"NA",145,0.088576664630422
"Ucm","Public",2006,22.1,"Tot",1637,1
"Umc","Public",2006,25.3,"33.36",89,0.018399834608228
"Umc","Public",2006,25.3,"28.32",1149,0.237543932189374
"Umc","Public",2006,25.3,"24.27",1824,0.377093239611329
"Umc","Public",2006,25.3,"19.23",1497,0.309489352904693
"Umc","Public",2006,25.3,"17.18",57,0.011784163737854
"Umc","Public",2006,25.3,"01.16",14,0.002894356005789
"Umc","Public",2006,25.3,"NA",207,0.042795120942733
"Umc","Public",2006,25.3,"Tot",4837,1
"Umkc","Public",2006,23.7,"33.36",14,0.014659685863874
"Umkc","Public",2006,23.7,"28.32",186,0.194764397905759
"Umkc","Public",2006,23.7,"24.27",263,0.275392670157068
"Umkc","Public",2006,23.7,"19.23",290,0.303664921465969
"Umkc","Public",2006,23.7,"17.18",75,0.078534031413613
"Umkc","Public",2006,23.7,"01.16",50,0.052356020942408
"Umkc","Public",2006,23.7,"NA",77,0.080628272251309
"Umkc","Public",2006,23.7,"Tot",955,1
"Umr","Public",2006,27.1,"33.36",51,0.053014553014553
"Umr","Public",2006,27.1,"28.32",360,0.374220374220374
"Umr","Public",2006,27.1,"24.27",314,0.326403326403326
"Umr","Public",2006,27.1,"19.23",146,0.151767151767152
"Umr","Public",2006,27.1,"17.18",6,0.006237006237006
"Umr","Public",2006,27.1,"01.16",1,0.001039501039501
"Umr","Public",2006,27.1,"NA",84,0.087318087318087
"Umr","Public",2006,27.1,"Tot",962,1
"Umsl","Public",2006,22.9,"33.36",4,0.007619047619048
"Umsl","Public",2006,22.9,"28.32",51,0.097142857142857
"Umsl","Public",2006,22.9,"24.27",150,0.285714285714286
"Umsl","Public",2006,22.9,"19.23",225,0.428571428571429
"Umsl","Public",2006,22.9,"17.18",46,0.087619047619048
