,DriverNumberCat,LapNumber,CompoundCat,TyreLife,FreshTyre,Stint,TeamCat,Year,RACE,DriverCat,TrackStatusCat,GridPosition,Position,Points,TotalTime,GapSeconds,RaceCat,FreshTyreCat
116,32,6.0,5,5.0,True,1.0,13,2018,Australia,5,1,17.0,19.0,0.0,581.634,6.932,1,1
261,1,14.0,6,13.0,True,1.0,14,2018,Australia,7,0,20.0,18.0,0.0,1328.885,10.382000000000001,1,1
315,27,18.0,6,20.0,False,1.0,5,2018,Australia,23,0,2.0,3.0,15.0,1627.51,13.192,1,0
331,19,19.0,6,20.0,False,1.0,9,2018,Australia,10,0,1.0,2.0,18.0,1711.1760000000002,8.370000000000001,1,0
363,4,20.0,5,19.0,True,1.0,13,2018,Australia,16,0,18.0,13.0,0.0,1864.7990000000002,0.171,1,1
376,16,21.0,5,23.0,False,1.0,11,2018,Australia,31,0,4.0,6.0,8.0,1926.479,4.345000000000001,1,0
389,7,22.0,6,24.0,False,1.0,7,2018,Australia,17,0,5.0,17.0,0.0,2011.6960000000001,1.6300000000000001,1,0
395,24,22.0,6,24.0,False,1.0,12,2018,Australia,26,0,9.0,10.0,1.0,2028.922,1.455,1,0
400,13,22.0,4,21.0,True,2.0,14,2018,Australia,11,1,16.0,15.0,0.0,2077.958,3.051,1,1
411,15,23.0,6,22.0,True,1.0,6,2018,Australia,21,1,14.0,12.0,0.0,2125.715,2.657,1,1
420,29,24.0,6,26.0,False,1.0,7,2018,Australia,9,1,6.0,16.0,0.0,2193.089,2.741,1,0
423,12,24.0,6,26.0,False,1.0,12,2018,Australia,12,1,7.0,7.0,6.0,2196.436,0.1,1,0
426,2,24.0,6,23.0,True,1.0,6,2018,Australia,22,1,12.0,11.0,0.0,2212.081,0.437,1,1
436,6,25.0,6,24.0,True,1.0,8,2018,Australia,30,5,11.0,9.0,2.0,2298.364,5.604,1,1
438,28,25.0,6,27.0,False,1.0,9,2018,Australia,3,5,15.0,8.0,4.0,2301.4390000000003,1.133,1,0
442,5,25.0,5,24.0,True,1.0,15,2018,Australia,28,5,13.0,14.0,0.0,2330.1620000000003,4.32,1,1
444,22,26.0,6,28.0,False,1.0,5,2018,Australia,32,5,3.0,1.0,25.0,2360.0060000000003,16.343,1,0
448,14,26.0,5,28.0,False,1.0,11,2018,Australia,24,5,8.0,4.0,12.0,2399.618,8.749,1,0
449,3,26.0,6,25.0,True,1.0,8,2018,Australia,2,5,10.0,5.0,10.0,2411.177,11.559000000000001,1,1
473,4,27.0,4,7.0,True,2.0,13,2018,Australia,16,13,18.0,13.0,0.0,2606.6310000000003,25.273000000000003,1,1
502,5,29.0,4,4.0,True,2.0,15,2018,Australia,28,8,13.0,14.0,0.0,2817.7470000000003,25.66,1,1
977,16,2.0,4,1.0,True,1.0,11,2018,Bahrain,31,5,15.0,19.0,0.0,280.97900000000004,56.982000000000006,6,1
993,4,3.0,4,2.0,True,1.0,13,2018,Bahrain,16,12,19.0,12.0,0.0,349.983,0.21100000000000002,6,1
1101,2,9.0,4,8.0,True,1.0,6,2018,Bahrain,22,0,12.0,16.0,0.0,955.335,3.8950000000000005,6,1
1118,6,10.0,5,9.0,True,1.0,8,2018,Bahrain,30,1,14.0,8.0,4.0,1050.864,1.5350000000000001,6,1
1120,5,10.0,4,9.0,True,1.0,15,2018,Bahrain,28,1,20.0,14.0,0.0,1057.9930000000002,1.183,6,1
1164,7,13.0,5,15.0,False,1.0,7,2018,Bahrain,17,0,6.0,5.0,10.0,1334.4370000000001,0.927,6,0
1182,3,14.0,4,13.0,True,1.0,8,2018,Bahrain,2,0,13.0,7.0,6.0,1435.439,4.612,6,1
1198,1,15.0,5,17.0,False,1.0,14,2018,Bahrain,7,0,5.0,4.0,12.0,1524.9930000000002,12.510000000000002,6,0
1199,12,15.0,5,17.0,False,1.0,12,2018,Bahrain,12,0,7.0,6.0,8.0,1530.837,5.844,6,0
1202,15,15.0,5,17.0,False,1.0,6,2018,Bahrain,21,0,8.0,10.0,1.0,1537.41,0.47400000000000003,6,0
1219,24,16.0,5,18.0,False,1.0,12,2018,Bahrain,26,0,10.0,11.0,0.0,1637.9170000000001,0.256,6,0
1231,22,17.0,5,18.0,False,1.0,5,2018,Bahrain,32,0,1.0,1.0,25.0,1694.2130000000002,0.616,6,0
1249,27,18.0,5,20.0,False,1.0,5,2018,Bahrain,23,0,2.0,18.0,0.0,1798.3120000000001,8.39,6,0
1255,29,18.0,5,17.0,True,1.0,7,2018,Bahrain,9,0,16.0,13.0,0.0,1836.988,2.604,6,1
