,Index,Year,Race,Team,Driver,TyreLife,Mean,Min,Max,NumberOfStops
0,0,2018,Australia,5,23,[20.0],18.0,18.0,18.0,1.0
1,1,2018,Australia,5,32,[28.0],26.0,26.0,26.0,1.0
2,2,2018,Australia,6,21,[22.0],23.0,23.0,23.0,1.0
3,3,2018,Australia,6,22,[23.0],24.0,24.0,24.0,1.0
4,4,2018,Australia,7,9,[26.0],24.0,24.0,24.0,1.0
5,5,2018,Australia,7,17,[24.0],22.0,22.0,22.0,1.0
6,6,2018,Australia,8,2,[25.0],26.0,26.0,26.0,1.0
7,7,2018,Australia,8,30,[24.0],25.0,25.0,25.0,1.0
8,8,2018,Australia,9,3,[27.0],25.0,25.0,25.0,1.0
9,9,2018,Australia,9,10,[20.0],19.0,19.0,19.0,1.0
10,10,2018,Australia,11,24,[28.0],26.0,26.0,26.0,1.0
11,11,2018,Australia,11,31,[23.0],21.0,21.0,21.0,1.0
12,12,2018,Australia,12,12,[26.0],24.0,24.0,24.0,1.0
13,13,2018,Australia,12,26,[24.0],22.0,22.0,22.0,1.0
14,14,2018,Australia,13,5,[5.0],6.0,6.0,6.0,1.0
15,15,2018,Australia,13,16,"[19.0, 7.0]",23.5,20.0,27.0,2.0
16,16,2018,Australia,14,7,[13.0],14.0,14.0,14.0,1.0
17,17,2018,Australia,14,11,[21.0],22.0,22.0,22.0,1.0
18,18,2018,Australia,15,28,"[24.0, 4.0]",27.0,25.0,29.0,2.0
19,19,2018,Austria,5,23,[17.0],15.0,15.0,15.0,1.0
20,20,2018,Austria,5,32,[17.0],15.0,15.0,15.0,1.0
21,21,2018,Austria,6,21,[14.0],15.0,15.0,15.0,1.0
22,22,2018,Austria,6,22,[26.0],27.0,27.0,27.0,1.0
23,23,2018,Austria,7,9,[17.0],15.0,15.0,15.0,1.0
24,24,2018,Austria,7,17,[30.0],28.0,28.0,28.0,1.0
25,25,2018,Austria,8,2,[14.0],15.0,15.0,15.0,1.0
26,26,2018,Austria,8,30,"[39.0, 25.0]",52.5,40.0,65.0,2.0
27,27,2018,Austria,9,10,"[26.0, 27.0]",38.5,25.0,52.0,2.0
28,28,2018,Austria,11,24,"[17.0, 23.0]",26.5,15.0,38.0,2.0
29,29,2018,Austria,11,31,[17.0],15.0,15.0,15.0,1.0
30,30,2018,Austria,12,26,"[17.0, 19.0]",24.5,15.0,34.0,2.0
31,31,2018,Austria,13,5,[44.0],45.0,45.0,45.0,1.0
32,32,2018,Austria,13,16,[14.0],15.0,15.0,15.0,1.0
33,33,2018,Austria,14,7,[14.0],15.0,15.0,15.0,1.0
34,34,2018,Austria,15,27,"[23.0, 36.0]",42.0,24.0,60.0,2.0
35,35,2018,Austria,15,28,"[14.0, 50.0]",40.0,15.0,65.0,2.0
36,36,2018,Azerbaijan,5,23,[38.0],40.0,40.0,40.0,1.0
37,37,2018,Azerbaijan,5,32,"[32.0, 10.0]",35.0,30.0,40.0,2.0
38,38,2018,Azerbaijan,6,22,"[4.0, 38.0]",21.0,2.0,40.0,2.0
39,39,2018,Azerbaijan,7,9,"[1.0, 38.0]",21.0,2.0,40.0,2.0
40,40,2018,Azerbaijan,7,17,[38.0],39.0,39.0,39.0,1.0
41,41,2018,Azerbaijan,8,2,[39.0],40.0,40.0,40.0,1.0
42,42,2018,Azerbaijan,8,30,"[16.0, 8.0, 14.0, 7.0]",31.75,17.0,46.0,4.0
43,43,2018,Azerbaijan,9,3,[43.0],40.0,40.0,40.0,1.0
44,44,2018,Azerbaijan,9,10,"[26.0, 18.0]",31.0,22.0,40.0,2.0
45,45,2018,Azerbaijan,11,24,[40.0],37.0,37.0,37.0,1.0
46,46,2018,Azerbaijan,11,31,[41.0],38.0,38.0,38.0,1.0
47,47,2018,Azerbaijan,12,26,"[17.0, 25.0]",27.5,15.0,40.0,2.0
48,48,2018,Azerbaijan,13,5,"[17.0, 18.0, 3.0]",31.0,18.0,39.0,3.0
49,49,2018,Azerbaijan,13,16,"[23.0, 16.0]",32.0,24.0,40.0,2.0
50,50,2018,Azerbaijan,14,7,"[11.0, 27.0]",25.5,12.0,39.0,2.0
51,51,2018,Azerbaijan,14,11,"[21.0, 17.0]",30.5,22.0,39.0,2.0
52,52,2018,Azerbaijan,15,28,"[22.0, 17.0]",31.5,23.0,40.0,2.0
