,DriverNumber,LapNumber,Compound,TyreLife,FreshTyre,Stint,Team,Driver,TrackStatus,StartPosition,EndPosition,Points,PitInTimeSeconds,PitOutTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,TotalTime,PitTime,TotalTimeWithPit,TotalTimeWithPitWoop
0,44,1,MEDIUM,10.0,False,1,Mercedes,HAM,1,1.0,1.0,26.0,NA,1446.5120000000002,NA,29.642000000000003,29.221,NA,NA,NA,NA
50,33,1,MEDIUM,5.0,False,1,Red Bull Racing,VER,1,3.0,2.0,18.0,NA,1382.553,NA,29.971000000000004,29.298000000000002,NA,NA,NA,NA
100,77,1,MEDIUM,8.0,False,1,Mercedes,BOT,1,2.0,3.0,15.0,NA,1472.632,NA,29.745,29.411,NA,NA,NA,NA
150,31,1,MEDIUM,8.0,False,1,Alpine,OCO,1,9.0,4.0,12.0,NA,1389.924,NA,30.967000000000002,29.812,NA,NA,NA,NA
200,3,1,HARD,1.0,True,1,McLaren,RIC,1,11.0,5.0,10.0,NA,1338.4840000000002,NA,31.207,29.872000000000003,NA,NA,NA,NA
250,10,1,MEDIUM,8.0,False,1,AlphaTauri,GAS,1,6.0,6.0,8.0,NA,1330.5040000000001,NA,31.107000000000003,30.024,NA,NA,NA,NA
300,16,1,MEDIUM,6.0,False,1,Ferrari,LEC,1,4.0,7.0,6.0,NA,1486.159,NA,30.269000000000002,29.491000000000003,NA,NA,NA,NA
350,55,1,HARD,1.0,True,1,Ferrari,SAI,1,15.0,8.0,4.0,NA,1415.419,NA,31.637,30.194000000000003,NA,NA,NA,NA
400,99,1,MEDIUM,7.0,False,1,Alfa Romeo Racing,GIO,1,10.0,9.0,2.0,NA,1407.3980000000001,NA,31.534000000000002,30.717000000000002,NA,NA,NA,NA
450,4,1,SOFT,5.0,False,1,McLaren,NOR,1,7.0,10.0,1.0,NA,1352.7330000000002,NA,30.408,29.758000000000003,NA,NA,NA,NA
500,18,1,MEDIUM,1.0,True,1,Aston Martin,STR,1,18.0,11.0,0.0,NA,1310.184,NA,31.328000000000003,30.796000000000003,NA,NA,NA,NA
