,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,StartPosition,EndPosition,Points,TimeSeconds,LapTimeSeconds,PitInTimeSeconds,PitOutTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTimeSeconds,TotalTime,PitTime,TotalTimeWithPit,0,TotalTimeWoopWoop
0,0 days 01:03:12.940000,44,NA,1,0 days 00:24:06.512000,NA,NA,0 days 00:00:29.642000,0 days 00:00:29.221000,NA,0 days 01:02:43.773000,0 days 01:03:13.092000,286.0,302.0,288.0,300.0,False,MEDIUM,10.0,False,1,0 days 01:01:37.514000,Mercedes,HAM,1,False,2021-12-05 17:33:44.732,1.0,1.0,26.0,3792.94,NA,NA,1446.5120000000002,NA,29.642000000000003,29.221,3697.514,NA,NA,NA,NA,NA
50,0 days 01:03:14.620000,33,NA,1,0 days 00:23:02.553000,NA,NA,0 days 00:00:29.971000,0 days 00:00:29.298000,NA,0 days 01:02:45.419000,0 days 01:03:14.749000,284.0,314.0,299.0,320.0,False,MEDIUM,5.0,False,1,0 days 01:01:37.514000,Red Bull Racing,VER,1,False,2021-12-05 17:33:44.732,3.0,2.0,18.0,3794.6200000000003,NA,NA,1382.553,NA,29.971000000000004,29.298000000000002,3697.514,NA,NA,NA,NA,NA
100,0 days 01:03:13.967000,77,NA,1,0 days 00:24:32.632000,NA,NA,0 days 00:00:29.745000,0 days 00:00:29.411000,NA,0 days 01:02:44.640000,0 days 01:03:14.128000,289.0,307.0,295.0,306.0,False,MEDIUM,8.0,False,1,0 days 01:01:37.514000,Mercedes,BOT,1,False,2021-12-05 17:33:44.732,2.0,3.0,15.0,3793.967,NA,NA,1472.632,NA,29.745,29.411,3697.514,NA,NA,NA,NA,NA
150,0 days 01:03:18.905000,31,NA,1,0 days 00:23:09.924000,NA,NA,0 days 00:00:30.967000,0 days 00:00:29.812000,NA,0 days 01:02:49.126000,0 days 01:03:19.022000,285.0,301.0,295.0,306.0,False,MEDIUM,8.0,False,1,0 days 01:01:37.514000,Alpine,OCO,1,False,2021-12-05 17:33:44.732,9.0,4.0,12.0,3798.905,NA,NA,1389.924,NA,30.967000000000002,29.812,3697.514,NA,NA,NA,NA,NA
200,0 days 01:03:19.891000,3,NA,1,0 days 00:22:18.484000,NA,NA,0 days 00:00:31.207000,0 days 00:00:29.872000,NA,0 days 01:02:50.138000,0 days 01:03:20.082000,290.0,305.0,303.0,322.0,False,HARD,1.0,True,1,0 days 01:01:37.514000,McLaren,RIC,1,False,2021-12-05 17:33:44.732,11.0,5.0,10.0,3799.891,NA,NA,1338.4840000000002,NA,31.207,29.872000000000003,3697.514,NA,NA,NA,NA,NA
250,0 days 01:03:19.630000,10,NA,1,0 days 00:22:10.504000,NA,NA,0 days 00:00:31.107000,0 days 00:00:30.024000,NA,0 days 01:02:49.648000,0 days 01:03:19.753000,287.0,309.0,294.0,310.0,False,MEDIUM,8.0,False,1,0 days 01:01:37.514000,AlphaTauri,GAS,1,False,2021-12-05 17:33:44.732,6.0,6.0,8.0,3799.63,NA,NA,1330.5040000000001,NA,31.107000000000003,30.024,3697.514,NA,NA,NA,NA,NA
300,0 days 01:03:16.198000,16,NA,1,0 days 00:24:46.159000,NA,NA,0 days 00:00:30.269000,0 days 00:00:29.491000,NA,0 days 01:02:46.775000,0 days 01:03:16.366000,286.0,302.0,294.0,306.0,False,MEDIUM,6.0,False,1,0 days 01:01:37.514000,Ferrari,LEC,1,False,2021-12-05 17:33:44.732,4.0,7.0,6.0,3796.1980000000003,NA,NA,1486.159,NA,30.269000000000002,29.491000000000003,3697.514,NA,NA,NA,NA,NA
350,0 days 01:03:22.580000,55,NA,1,0 days 00:23:35.419000,NA,NA,0 days 00:00:31.637000,0 days 00:00:30.194000,NA,0 days 01:02:52.438000,0 days 01:03:22.768000,288.0,300.0,305.0,319.0,False,HARD,1.0,True,1,0 days 01:01:37.514000,Ferrari,SAI,1,False,2021-12-05 17:33:44.732,15.0,8.0,4.0,3802.5800000000004,NA,NA,1415.419,NA,31.637,30.194000000000003,3697.514,NA,NA,NA,NA,NA
400,0 days 01:03:21.583000,99,NA,1,0 days 00:23:27.398000,NA,NA,0 days 00:00:31.534000,0 days 00:00:30.717000,NA,0 days 01:02:50.899000,0 days 01:03:21.788000,285.0,300.0,290.0,303.0,False,MEDIUM,7.0,False,1,0 days 01:01:37.514000,Alfa Romeo Racing,GIO,1,False,2021-12-05 17:33:44.732,10.0,9.0,2.0,3801.583,NA,NA,1407.3980000000001,NA,31.534000000000002,30.717000000000002,3697.514,NA,NA,NA,NA,NA
450,0 days 01:03:17.867000,4,NA,1,0 days 00:22:32.733000,NA,NA,0 days 00:00:30.408000,0 days 00:00:29.758000,NA,0 days 01:02:48.169000,0 days 01:03:18.011000,288.0,308.0,288.0,304.0,False,SOFT,5.0,False,1,0 days 01:01:37.514000,McLaren,NOR,1,False,2021-12-05 17:33:44.732,7.0,10.0,1.0,3797.867,NA,NA,1352.7330000000002,NA,30.408,29.758000000000003,3697.514,NA,NA,NA,NA,NA
500,0 days 01:03:23.898000,18,NA,1,0 days 00:21:50.184000,NA,NA,0 days 00:00:31.328000,0 days 00:00:30.796000,NA,0 days 01:02:53.174000,0 days 01:03:24.041000,281.0,306.0,280.0,311.0,False,MEDIUM,1.0,True,1,0 days 01:01:37.514000,Aston Martin,STR,1,False,2021-12-05 17:33:44.732,18.0,11.0,0.0,3803.898,NA,NA,1310.184,NA,31.328000000000003,30.796000000000003,3697.514,NA,NA,NA,NA,NA
550,0 days 01:03:25.309000,6,NA,1,0 days 00:26:26.566000,NA,NA,0 days 00:00:31.773000,0 days 00:00:30.793000,NA,0 days 01:02:54.589000,0 days 01:03:25.542000,280.0,291.0,290.0,306.0,False,MEDIUM,1.0,True,1,0 days 01:01:37.514000,Williams,LAT,1,False,2021-12-05 17:33:44.732,16.0,12.0,0.0,3805.309,NA,NA,1586.566,NA,31.773000000000003,30.793000000000003,3697.514,NA,NA,NA,NA,NA
600,0 days 01:03:21.619000,14,NA,1,0 days 00:22:04.600000,NA,NA,0 days 00:00:31.359000,0 days 00:00:30.719000,NA,0 days 01:02:50.932000,0 days 01:03:21.814000,290.0,308.0,289.0,309.0,False,MEDIUM,1.0,True,1,0 days 01:01:37.514000,Alpine,ALO,1,False,2021-12-05 17:33:44.732,13.0,13.0,0.0,3801.619,NA,NA,1324.6000000000001,NA,31.359,30.719,3697.514,NA,NA,NA,NA,NA
649,0 days 01:03:22.130000,22,NA,1,0 days 00:21:56.147000,NA,NA,0 days 00:00:31.680000,0 days 00:00:30.434000,NA,0 days 01:02:51.727000,0 days 01:03:22.306000,286.0,306.0,300.0,322.0,False,MEDIUM,8.0,False,1,0 days 01:01:37.514000,AlphaTauri,TSU,1,False,2021-12-05 17:33:44.732,8.0,14.0,0.0,3802.13,NA,NA,1316.1470000000002,NA,31.680000000000003,30.434,3697.514,NA,NA,NA,NA,NA
698,0 days 01:03:22.619000,7,NA,1,0 days 00:23:22.859000,NA,NA,0 days 00:00:31.400000,0 days 00:00:30.839000,NA,0 days 01:02:51.866000,0 days 01:03:22.768000,282.0,307.0,309.0,305.0,False,MEDIUM,1.0,True,1,0 days 01:01:37.514000,Alfa Romeo Racing,RAI,1,False,2021-12-05 17:33:44.732,12.0,15.0,0.0,3802.619,NA,NA,1402.8590000000002,NA,31.400000000000002,30.839000000000002,3697.514,NA,NA,NA,NA,NA
747,0 days 01:03:23.147000,5,NA,1,0 days 00:23:06.459000,NA,NA,0 days 00:00:31.394000,0 days 00:00:30.480000,NA,0 days 01:02:52.729000,0 days 01:03:23.269000,283.0,291.0,291.0,317.0,False,HARD,2.0,False,1,0 days 01:01:37.514000,Aston Martin,VET,1,False,2021-12-05 17:33:44.732,17.0,16.0,0.0,3803.1470000000004,NA,NA,1386.459,NA,31.394000000000002,30.48,3697.514,NA,NA,NA,NA,NA
791,0 days 01:03:16.777000,11,NA,1,0 days 00:22:49.707000,NA,NA,0 days 00:00:30.085000,0 days 00:00:29.561000,NA,0 days 01:02:47.225000,0 days 01:03:16.915000,286.0,312.0,297.0,318.0,False,MEDIUM,8.0,False,1,0 days 01:01:37.514000,Red Bull Racing,PER,1,False,2021-12-05 17:33:44.732,5.0,17.0,0.0,3796.777,NA,NA,1369.707,NA,30.085,29.561000000000003,3697.514,NA,NA,NA,NA,NA
806,0 days 01:03:26.330000,9,NA,1,0 days 00:23:48.787000,NA,NA,0 days 00:00:32.235000,0 days 00:00:30.770000,NA,0 days 01:02:55.611000,0 days 01:03:26.477000,278.0,306.0,294.0,312.0,False,MEDIUM,1.0,True,1,0 days 01:01:37.514000,Haas F1 Team,MAZ,1,False,2021-12-05 17:33:44.732,20.0,18.0,0.0,3806.3300000000004,NA,NA,1428.787,NA,32.235,30.770000000000003,3697.514,NA,NA,NA,NA,NA
821,0 days 01:03:24.515000,63,NA,1,0 days 00:23:12.610000,NA,NA,0 days 00:00:31.681000,0 days 00:00:30.882000,NA,0 days 01:02:53.669000,0 days 01:03:24.654000,288.0,299.0,286.0,314.0,False,MEDIUM,1.0,True,1,0 days 01:01:37.514000,Williams,RUS,1,False,2021-12-05 17:33:44.732,14.0,19.0,0.0,3804.5150000000003,NA,NA,1392.6100000000001,NA,31.681,30.882,3697.514,NA,NA,NA,NA,NA
836,0 days 01:03:24.894000,47,NA,1,0 days 00:23:52.680000,NA,NA,0 days 00:00:31.888000,0 days 00:00:30.733000,NA,0 days 01:02:54.194000,0 days 01:03:25.019000,285.0,307.0,299.0,318.0,False,MEDIUM,1.0,True,1,0 days 01:01:37.514000,Haas F1 Team,MSC,1,False,2021-12-05 17:33:44.732,19.0,20.0,0.0,3804.8940000000002,NA,NA,1432.68,NA,31.888,30.733,3697.514,NA,NA,NA,NA,NA
1,0 days 01:04:46.960000,44,0 days 00:01:34.020000,2,NA,NA,0 days 00:00:34.811000,0 days 00:00:29.851000,0 days 00:00:29.358000,0 days 01:03:47.751000,0 days 01:04:17.602000,0 days 01:04:46.960000,278.0,295.0,293.0,295.0,False,MEDIUM,11.0,False,1,0 days 01:03:12.940000,Mercedes,HAM,1,True,2021-12-05 17:35:20.158,1.0,1.0,26.0,3886.96,94.02000000000001,NA,NA,34.811,29.851000000000003,29.358,3792.94,94.02000000000001,NA,NA,NA,94.02000000000001
101,0 days 01:04:48.015000,77,0 days 00:01:34.048000,2,NA,NA,0 days 00:00:34.885000,0 days 00:00:29.867000,0 days 00:00:29.296000,0 days 01:03:48.852000,0 days 01:04:18.719000,0 days 01:04:48.015000,283.0,300.0,297.0,301.0,False,MEDIUM,9.0,False,1,0 days 01:03:13.967000,Mercedes,BOT,1,True,2021-12-05 17:35:21.185,2.0,3.0,15.0,3888.0150000000003,94.048,NA,NA,34.885000000000005,29.867,29.296000000000003,3793.967,94.04800000000002,NA,NA,NA,94.04800000000002
51,0 days 01:04:48.958000,33,0 days 00:01:34.338000,2,NA,NA,0 days 00:00:35.067000,0 days 00:00:29.861000,0 days 00:00:29.410000,0 days 01:03:49.687000,0 days 01:04:19.548000,0 days 01:04:48.958000,287.0,304.0,298.0,307.0,False,MEDIUM,6.0,False,1,0 days 01:03:14.620000,Red Bull Racing,VER,1,True,2021-12-05 17:35:21.838,3.0,2.0,18.0,3888.958,94.33800000000001,NA,NA,35.067,29.861,29.41,3794.6200000000003,94.338,NA,NA,NA,94.338
301,0 days 01:04:51.204000,16,0 days 00:01:35.006000,2,NA,NA,0 days 00:00:35.332000,0 days 00:00:30.178000,0 days 00:00:29.496000,0 days 01:03:51.530000,0 days 01:04:21.708000,0 days 01:04:51.204000,285.0,301.0,292.0,306.0,False,MEDIUM,7.0,False,1,0 days 01:03:16.198000,Ferrari,LEC,1,True,2021-12-05 17:35:23.416,4.0,7.0,6.0,3891.204,95.006,NA,NA,35.332,30.178,29.496000000000002,3796.1980000000003,95.006,NA,NA,NA,95.006
792,0 days 01:04:52.080000,11,0 days 00:01:35.303000,2,NA,NA,0 days 00:00:35.786000,0 days 00:00:29.992000,0 days 00:00:29.525000,0 days 01:03:52.563000,0 days 01:04:22.555000,0 days 01:04:52.080000,NA,306.0,296.0,311.0,False,MEDIUM,9.0,False,1,0 days 01:03:16.777000,Red Bull Racing,PER,1,True,2021-12-05 17:35:23.995,5.0,17.0,0.0,3892.0800000000004,95.30300000000001,NA,NA,35.786,29.992,29.525000000000002,3796.777,95.30300000000001,NA,NA,NA,95.30300000000001
451,0 days 01:04:53.734000,4,0 days 00:01:35.867000,2,NA,NA,0 days 00:00:35.966000,0 days 00:00:30.263000,0 days 00:00:29.638000,0 days 01:03:53.833000,0 days 01:04:24.096000,0 days 01:04:53.734000,284.0,302.0,296.0,302.0,False,SOFT,6.0,False,1,0 days 01:03:17.867000,McLaren,NOR,1,True,2021-12-05 17:35:25.085,7.0,10.0,1.0,3893.7340000000004,95.867,NA,NA,35.966,30.263,29.638,3797.867,95.867,NA,NA,NA,95.867
151,0 days 01:04:55.113000,31,0 days 00:01:36.208000,2,NA,NA,0 days 00:00:35.959000,0 days 00:00:30.517000,0 days 00:00:29.732000,0 days 01:03:54.864000,0 days 01:04:25.381000,0 days 01:04:55.113000,280.0,298.0,294.0,303.0,False,MEDIUM,9.0,False,1,0 days 01:03:18.905000,Alpine,OCO,1,True,2021-12-05 17:35:26.123,9.0,4.0,12.0,3895.1130000000003,96.20800000000001,NA,NA,35.959,30.517000000000003,29.732000000000003,3798.905,96.208,NA,NA,NA,96.208
601,0 days 01:04:57.994000,14,0 days 00:01:36.375000,2,NA,NA,0 days 00:00:36.086000,0 days 00:00:30.498000,0 days 00:00:29.791000,0 days 01:03:57.705000,0 days 01:04:28.203000,0 days 01:04:57.994000,279.0,300.0,290.0,304.0,False,MEDIUM,2.0,True,1,0 days 01:03:21.619000,Alpine,ALO,1,True,2021-12-05 17:35:28.837,13.0,13.0,0.0,3897.994,96.375,NA,NA,36.086000000000006,30.498,29.791,3801.619,96.375,NA,NA,NA,96.375
251,0 days 01:04:56.122000,10,0 days 00:01:36.492000,2,NA,NA,0 days 00:00:36.118000,0 days 00:00:30.641000,0 days 00:00:29.733000,0 days 01:03:55.748000,0 days 01:04:26.389000,0 days 01:04:56.122000,280.0,300.0,294.0,302.0,False,MEDIUM,9.0,False,1,0 days 01:03:19.630000,AlphaTauri,GAS,1,True,2021-12-05 17:35:26.848,6.0,6.0,8.0,3896.1220000000003,96.492,NA,NA,36.118,30.641000000000002,29.733,3799.63,96.492,NA,NA,NA,96.492
201,0 days 01:04:57.078000,3,0 days 00:01:37.187000,2,NA,NA,0 days 00:00:36.560000,0 days 00:00:30.385000,0 days 00:00:30.242000,0 days 01:03:56.451000,0 days 01:04:26.836000,0 days 01:04:57.078000,284.0,305.0,288.0,310.0,False,HARD,2.0,True,1,0 days 01:03:19.891000,McLaren,RIC,1,True,2021-12-05 17:35:27.109,11.0,5.0,10.0,3897.0780000000004,97.18700000000001,NA,NA,36.56,30.385,30.242,3799.891,97.18700000000001,NA,NA,NA,97.18700000000001
401,0 days 01:04:58.931000,99,0 days 00:01:37.348000,2,NA,NA,0 days 00:00:36.832000,0 days 00:00:30.482000,0 days 00:00:30.034000,0 days 01:03:58.415000,0 days 01:04:28.897000,0 days 01:04:58.931000,283.0,310.0,294.0,310.0,False,MEDIUM,8.0,False,1,0 days 01:03:21.583000,Alfa Romeo Racing,GIO,1,True,2021-12-05 17:35:28.801,10.0,9.0,2.0,3898.931,97.348,NA,NA,36.832,30.482000000000003,30.034000000000002,3801.583,97.34800000000001,NA,NA,NA,97.34800000000001
650,0 days 01:04:59.527000,22,0 days 00:01:37.397000,2,NA,NA,0 days 00:00:36.854000,0 days 00:00:30.744000,0 days 00:00:29.799000,0 days 01:03:58.984000,0 days 01:04:29.728000,0 days 01:04:59.527000,281.0,301.0,295.0,305.0,False,MEDIUM,9.0,False,1,0 days 01:03:22.130000,AlphaTauri,TSU,1,True,2021-12-05 17:35:29.348,8.0,14.0,0.0,3899.527,97.397,NA,NA,36.854,30.744000000000003,29.799000000000003,3802.13,97.397,NA,NA,NA,97.397
351,0 days 01:05:00.434000,55,0 days 00:01:37.854000,2,NA,NA,0 days 00:00:37.089000,0 days 00:00:30.687000,0 days 00:00:30.078000,0 days 01:03:59.669000,0 days 01:04:30.356000,0 days 01:05:00.434000,287.0,307.0,296.0,309.0,False,HARD,2.0,True,1,0 days 01:03:22.580000,Ferrari,SAI,1,True,2021-12-05 17:35:29.798,15.0,8.0,4.0,3900.434,97.854,NA,NA,37.089000000000006,30.687,30.078000000000003,3802.5800000000004,97.85400000000001,NA,NA,NA,97.85400000000001
699,0 days 01:05:01.434000,7,0 days 00:01:38.815000,2,NA,NA,0 days 00:00:37.644000,0 days 00:00:31.006000,0 days 00:00:30.165000,0 days 01:04:00.263000,0 days 01:04:31.269000,0 days 01:05:01.434000,281.0,301.0,292.0,302.0,False,MEDIUM,2.0,True,1,0 days 01:03:22.619000,Alfa Romeo Racing,RAI,1,True,2021-12-05 17:35:29.837,12.0,15.0,0.0,3901.434,98.81500000000001,NA,NA,37.644000000000005,31.006,30.165000000000003,3802.619,98.81500000000001,NA,NA,NA,98.81500000000001
501,0 days 01:05:03.148000,18,0 days 00:01:39.250000,2,NA,NA,0 days 00:00:37.655000,0 days 00:00:31.237000,0 days 00:00:30.358000,0 days 01:04:01.553000,0 days 01:04:32.790000,0 days 01:05:03.148000,273.0,297.0,292.0,301.0,False,MEDIUM,2.0,True,1,0 days 01:03:23.898000,Aston Martin,STR,1,True,2021-12-05 17:35:31.116,18.0,11.0,0.0,3903.148,99.25,NA,NA,37.655,31.237000000000002,30.358,3803.898,99.25,NA,NA,NA,99.25
748,0 days 01:05:02.430000,5,0 days 00:01:39.283000,2,NA,NA,0 days 00:00:37.865000,0 days 00:00:31.212000,0 days 00:00:30.206000,0 days 01:04:01.012000,0 days 01:04:32.224000,0 days 01:05:02.430000,274.0,294.0,291.0,299.0,False,HARD,3.0,False,1,0 days 01:03:23.147000,Aston Martin,VET,1,True,2021-12-05 17:35:30.365,17.0,16.0,0.0,3902.4300000000003,99.283,NA,NA,37.865,31.212000000000003,30.206000000000003,3803.1470000000004,99.283,NA,NA,NA,99.283
822,0 days 01:05:04.131000,63,0 days 00:01:39.616000,2,NA,NA,0 days 00:00:37.661000,0 days 00:00:31.441000,0 days 00:00:30.514000,0 days 01:04:02.176000,0 days 01:04:33.617000,0 days 01:05:04.131000,277.0,297.0,290.0,301.0,False,MEDIUM,2.0,True,1,0 days 01:03:24.515000,Williams,RUS,1,True,2021-12-05 17:35:31.733,14.0,19.0,0.0,3904.1310000000003,99.616,NA,NA,37.661,31.441000000000003,30.514000000000003,3804.5150000000003,99.61600000000001,NA,NA,NA,99.61600000000001
807,0 days 01:05:06.386000,9,0 days 00:01:40.056000,2,NA,NA,0 days 00:00:37.739000,0 days 00:00:31.557000,0 days 00:00:30.760000,0 days 01:04:04.069000,0 days 01:04:35.626000,0 days 01:05:06.386000,280.0,311.0,295.0,315.0,False,MEDIUM,2.0,True,1,0 days 01:03:26.330000,Haas F1 Team,MAZ,1,True,2021-12-05 17:35:33.548,20.0,18.0,0.0,3906.3860000000004,100.05600000000001,NA,NA,37.739000000000004,31.557000000000002,30.76,3806.3300000000004,100.05600000000001,NA,NA,NA,100.05600000000001
837,0 days 01:05:05.067000,47,0 days 00:01:40.173000,2,NA,NA,0 days 00:00:37.765000,0 days 00:00:31.455000,0 days 00:00:30.953000,0 days 01:04:02.659000,0 days 01:04:34.114000,0 days 01:05:05.067000,284.0,310.0,293.0,313.0,False,MEDIUM,2.0,True,1,0 days 01:03:24.894000,Haas F1 Team,MSC,1,True,2021-12-05 17:35:32.112,19.0,20.0,0.0,3905.0670000000005,100.173,NA,NA,37.765,31.455000000000002,30.953000000000003,3804.8940000000002,100.173,NA,NA,NA,100.173
551,0 days 01:05:05.557000,6,0 days 00:01:40.248000,2,NA,NA,0 days 00:00:37.722000,0 days 00:00:31.806000,0 days 00:00:30.720000,0 days 01:04:03.031000,0 days 01:04:34.837000,0 days 01:05:05.557000,276.0,291.0,290.0,296.0,False,MEDIUM,2.0,True,1,0 days 01:03:25.309000,Williams,LAT,1,True,2021-12-05 17:35:32.527,16.0,12.0,0.0,3905.5570000000002,100.248,NA,NA,37.722,31.806,30.720000000000002,3805.309,100.248,NA,NA,NA,100.248
